College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Alabama A & M University,"4900 Meridian Street, Normal, Alabama 35762",(256) 372-5000,www.aamu.edu/,"4-year, Public","Bachelor's degree
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship",City: Midsize,Yes,"5,969 (5,107 undergraduate)",18 to 1,www.aamu.edu/about/strategic-plan/mission-vision-values.html,Master's Colleges & Universities: Larger Programs,"ROTC (Army),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Advanced placement (AP) credits",211,95,0,n/a,"$1,600","$9,520","$24,234","$10,024","$18,634",n/a,n/a,n/a,"$11,047",41%,59%,0%,0%,90%,1%,0%,2%,1%,5%,1%,94%,6%,53%,46%,0%,62%,38%,48%,51%,52%,48%,$30,"6,560",72%,33%,Required,Recommended,Required,Recommended,Considered but not required,Considered but not required,Required,19%,63%,430,520,410,510,15,20,14,20,15,18,58%,28%,34%,23%,32%,0%,0%,28%,22%,0%,30%,32%,0%,25%,0,0,2,0,0,0,0,0,5,0,0,4,1,0,4,9,0,2,87,1
Alabama College of Osteopathic Medicine,"445 Health Sciences Boulevard, Dothan, Alabama 36303-2251",(334) 699-2266,www.acom.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Fringe,No,731 (0 undergraduate),n/a,www.acom.edu/mission-2/,Special Focus Four-Year: Medical Schools & Centers,None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",37,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,49%,51%,0%,25%,4%,9%,0%,57%,3%,2%,0%,0%,0%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0%,100%,open admission policy contact institution for more information,"This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.","This institution does not offer programs at or below the baccalaureate level, therefore admission information was not reported.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama School of Nail Technology & Cosmetology,"202 Commerce Street, Jackson, Alabama 36545-2718",(251) 246-9992,www.alabamaschoolofnailtechnology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,30 (all undergraduate),20 to 1,"Our Mission at Alabama School of Nail Technology & Cosmetology is to help the student open the door to successful employment, by providing the tools needed to succeed; through quality education in the beauty industry and disciplines.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Distance education – undergraduate courses offered, programs not offered",Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,0,n/a,n/a,"$2,183","$11,138",0.0%,n/a,n/a,n/a,n/a,n/a,"$5,337",0%,100%,0%,0%,53%,0%,0%,47%,0%,0%,0%,60%,40%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,92%,71%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36104-0271",(334) 229-4100,www.alasu.edu/,"4-year, Public","Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice",City: Midsize,Yes,"3,964 (3,499 undergraduate)",13 to 1,"Alabama State University is a comprehensive diverse student- centered public HBCU committed to global excellence in teaching, research and service. The University fulfills its mission by: Fostering critical thought Encouraging artistic creativity Developing professional competence Promoting responsible citizenship in its students Adding to the academic and experiential bodies of knowledge Enhancing the quality of life through research and discovery Cultivating global citizenship through thoughtful (meaningful, purposeful conscientious, intentional) and engaging public service",Doctoral/Professional Universities,"ROTC (Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Advanced placement (AP) credits",221,110,22,n/a,"$1,600","$6,050","$22,110","$11,068","$19,396",n/a,n/a,n/a,"$10,796",35%,65%,0%,0%,93%,1%,0%,2%,1%,1%,2%,93%,7%,54%,44%,1%,69%,31%,89%,11%,70%,30%,$25,"5,974",98%,15%,Required,Considered but not required,Recommended,Considered but not required,Considered but not required,Considered but not required,Required,15%,35%,442,534,397,516,15,20,12,22,15,19,64%,28%,36%,23%,32%,0%,33%,28%,43%,n/a,36%,6%,38%,29%,0,0,0,0,0,0,0,3,10,0,0,4,0,0,0,5,0,0,0,0
Amridge University,All programs offered completely via Distance education,(334) 387-3877 x7550,www.amridgeuniversity.edu/,"4-year, Private not-for-profit","Associate's degree
,Bachelor's degree
,Master's degree
,Doctor's degree - research/scholarship",City: Midsize,No,723 (251 undergraduate),13 to 1,"Amridge University is an independent, coeducational institution dedicated to the spirit of its Christian ideals and heritage. With a commitment to academic excellence, distance education, and spiritual vitality, Amridge University’s mission is to prepare men and women for a lifetime of learning, leadership, and service to their professions, society, church, and family, through teaching, learning experiences, and support services.",Master's Colleges & Universities: Small Programs,"Distance education – undergraduate programs offered,Distance education – graduate programs offered",Churches of Christ,"Credit for life experiences,Advanced placement (AP) credits",34,10,0,"$9,000",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"$4,544",31%,69%,0%,0%,69%,4%,0%,25%,0%,1%,0%,14%,86%,n/a,n/a,n/a,100%,0%,100%,0%,100%,0%,"Undergraduate application fee (2021-2022): $50
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Athens State University,"300 N Beaty St, Athens, Alabama 35611",(256) 233-8100,www.athens.edu/,"4-year, Public","Less than one year certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree",Town: Fringe,No,"2,794 (2,559 undergraduate)",14 to 1,www.athens.edu/about/vision/,Baccalaureate Colleges: Diverse Fields,"Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",81,100,0,n/a,n/a,n/a,n/a,"$6,750","$13,500","$7,800","$12,000",n/a,"$2,870",30%,70%,1%,1%,13%,4%,0%,76%,3%,2%,0%,44%,56%,n/a,n/a,n/a,56%,34%,90%,9%,100%,0%,$30,"This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn University,"Auburn, Alabama 36849",(334) 844-4000,www.auburn.edu/,"4-year, Public","Less than one year certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice
,Doctor's degree - other",City: Small,Yes,"31,526 (24,931 undergraduate)",20 to 1,www.auburn.edu/main/welcome/visionandmission.php,Doctoral Universities: Very High Research Activity,"ROTC (Army, Navy, Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad",Not applicable,"Dual credit,Advanced placement (AP) credits","1,712",286,"1,992",n/a,"$1,200","$14,596","$33,650","$11,826","$31,986",n/a,n/a,n/a,"$10,448",51%,49%,0%,2%,5%,4%,0%,82%,3%,0%,4%,96%,4%,54%,46%,0%,54%,46%,46%,54%,46%,54%,$50,"27,619",71%,27%,Required,Recommended,Required,Required,Recommended,Recommended,Required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,93%,81%,13%,77%,84%,79%,83%,69%,76%,100%,82%,68%,71%,75%,0,0,10,3,0,0,2,10,13,3,1,15,0,34,4,48,24,1,30,230
Auburn University at Montgomery,"7440 East Drive, Montgomery, Alabama 36117-3596",(334) 244-3000,www.aum.edu/,"4-year, Public","Less than one year certificate
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Post-master's certificate
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice",City: Midsize,Yes,"5,068 (4,086 undergraduate)",15 to 1,"The mission of Auburn University at Montgomery is to provide quality and diverse educational opportunities at the undergraduate and graduate levels through use of traditional and electronic delivery systems, and to foster and support an environment conducive to teaching, research, scholarship, and collaboration with government agencies, our community, and other educational institutions.",Master's Colleges & Universities: Larger Programs,"ROTC (Army),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Advanced placement (AP) credits",223,137,41,n/a,"$1,200","$7,368","$21,258","$8,860","$18,820",n/a,n/a,n/a,"$6,916",33%,67%,0%,3%,44%,1%,0%,42%,4%,1%,4%,80%,20%,93%,5%,2%,41%,59%,55%,45%,81%,19%,open admission policy contact institution for more information,"3,405",97%,16%,Required,Recommended,Required,Considered but not required,Considered but not required,Required,Required,4%,80%,480,595,470,565,17,24,16,24,16,22,63%,36%,34%,33%,37%,40%,22%,33%,25%,0%,39%,23%,n/a,45%,0,0,1,0,0,0,1,3,0,0,0,0,7,0,2,2,0,2,9,6
Bevill State Community College,"1411 Indiana Avenue, Jasper, Alabama 35501",(205) 387-0511,www.bscc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Distant,Yes,"3,371 (all undergraduate)",12 to 1,bscc.edu/about/mission-vision-values,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",110,138,n/a,n/a,"$1,400","$4,576","$16,806","$5,214","$9,150",n/a,n/a,n/a,"$9,637",40%,60%,0%,1%,16%,3%,0%,74%,3%,4%,0%,77%,23%,99%,1%,0%,n/a,n/a,41%,58%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67%,37%,14%,42%,32%,0%,n/a,24%,31%,n/a,39%,28%,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham-Southern College,"900 Arkadelphia Road, Birmingham, Alabama 35254",(205) 226-4600,www.bsc.edu/,"4-year, Private not-for-profit",Bachelor's degree,City: Midsize,Yes,"1,058 (all undergraduate)",10 to 1,"Birmingham-Southern College prepares men and women for lives of significance. The College fosters intellectual and personal development through excellence in teaching and scholarship and by challenging students to engage their community and the greater world, to examine diverse perspectives, and to live with integrity. A residential, baccalaureate liberal arts institution, Birmingham-Southern College honors its Methodist heritage of informed inquiry and meaningful service.",Baccalaureate Colleges: Arts & Sciences Focus,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate courses offered, programs not offered,Study abroad",United Methodist,"Dual credit,Advanced placement (AP) credits",101,22,n/a,n/a,"$1,000","$13,600",4.6%,n/a,n/a,n/a,n/a,n/a,"$10,781",49%,51%,0%,3%,16%,6%,0%,73%,1%,0%,2%,98%,2%,61%,39%,0%,n/a,n/a,0%,100%,n/a,n/a,$50,"2,461",66%,15%,Required,Considered but not required,Considered but not required,Recommended,Considered but not required,Considered but not required,Considered but not required,7%,54%,550,610,540,630,22,28,22,30,19,26,78%,70%,25%,64%,76%,50%,80%,58%,60%,n/a,71%,71%,n/a,n/a,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,3,5
